min_tranz,share,auc
1,0.007976071784646061,0.6498863253917195
10,0.05290794283815221,0.7339301068100894
25,0.10927218344965105,0.7698622107551767
50,0.1875041542040545,0.7894397575199409
100,0.3246261216350947,0.8012625748839334
200,0.5228315054835494,0.8079616129999148
400,0.7606513791957461,0.8121554078081462
800,0.9414423396477235,0.813198167142196
